"name","rxcui","source"
"Caffeine","1886","ndf-rt"
"Calamine","106212","ndf-rt"
"Calcium Acetate","214342","ndf-rt"
"Calcium Carbonate","1897","ndf-rt"
"Calcium Chloride","1901","ndf-rt"
"Calcium Citrate","47613","ndf-rt"
"Calcium Folinate","225852","ndf-rt"
"Calcium Glubionate","25806","ndf-rt"
"Calcium Gluceptate","47618","ndf-rt"
"Calcium Gluconate","1908","ndf-rt"
"Calcium Glycerophosphate","1909","ndf-rt"
"Calcium Lactate","47622","ndf-rt"
"Calcium Pangamate","1917","ndf-rt"
"Calcium Phosphate","1919","ndf-rt"
"Canakinumab","853491","ndf-rt"
"Candesartan","214354","ndf-rt"
"Capecitabine","194000","ndf-rt"
"Capreomycin","78903","ndf-rt"
"Capsaicin","1992","ndf-rt"
"Captopril","1998","ndf-rt"
"Carbamazepine","2002","ndf-rt"
"Carbenicillin","2015","ndf-rt"
"Carboplatin","40048","ndf-rt"
"Carboprost/Tromethamine","20259","ndf-rt"
"Carboxymethylcellulose Sodium [Chemical/Ingredient","491498","ndf-rt"
"Carisoprodol","2101","ndf-rt"
"Carmustine","2105","ndf-rt"
"Carotene,Beta","19143","ndf-rt"
"Carteolol","2116","ndf-rt"
"Carvedilol","20352","ndf-rt"
"Cascara Sagrada Extract","66869","ndf-rt"
"Caspofungin","140108","ndf-rt"
"Castellani Paint","305064","ndf-rt"
"Cefaclor","2176","ndf-rt"
"Cefdinir","25037","ndf-rt"
"Cefotetan","2187","ndf-rt"
"Cefpodoxime Proxetil","47835","ndf-rt"
"Ceftriaxone","2193","ndf-rt"
"Cefuroxime","2194","ndf-rt"
"Celecoxib","140587","ndf-rt"
"Cephalexin","2231","ndf-rt"
"Certolizumab Pegol","709271","ndf-rt"
"Cetuximab","318341","ndf-rt"
"Cetylpyridinium Chloride","2287","ndf-rt"
"Chamomile Flowers","221916","ndf-rt"
"Chloral Hydrate","2344","ndf-rt"
"Chlorambucil","2346","ndf-rt"
"Chloramphenicol","2348","ndf-rt"
"Chlordiazepoxide","2356","ndf-rt"
"Chlorhexidine Gluconate","20791","ndf-rt"
"Chloroquine","2393","ndf-rt"
"Chlorothiazide","2396","ndf-rt"
"Chlorotrianisene","2397","ndf-rt"
"Chlorpromazine","2403","ndf-rt"
"Chlorpropamide","2404","ndf-rt"
"Chlorprothixene","2406","ndf-rt"
"Chlorthalidone","2409","ndf-rt"
"Chlorzoxazone","2410","ndf-rt"
"Cholestyramine","2447","ndf-rt"
"Choline Salicylate","20974","ndf-rt"
"Chymotrypsin","2530","ndf-rt"
"Ciclesonide","274964","ndf-rt"
"Cidofovir","83171","ndf-rt"
"Cilostazol","21107","ndf-rt"
"Cimetidine","2541","ndf-rt"
"Cinacalcet","407990","ndf-rt"
"Ciprofloxacin","2551","ndf-rt"
"Cisapride","35255","ndf-rt"
"Cisatracurium","319864","ndf-rt"
"Cisplatin","2555","ndf-rt"
"Citalopram","2556","ndf-rt"
"Cladribine","44157","ndf-rt"
"Clarithromycin","21212","ndf-rt"
"Clemastine","2578","ndf-rt"
"Clidinium Bromide","48212","ndf-rt"
"Clindamycin","2582","ndf-rt"
"Clobazam","21241","ndf-rt"
"Clobetasol","2590","ndf-rt"
"Clofarabine","44151","ndf-rt"
"Clofibrate","2594","ndf-rt"
"Clomipramine","2597","ndf-rt"
"Clonazepam","2598","ndf-rt"
"Clonidine","2599","ndf-rt"
"Clopidogrel","32968","ndf-rt"
"Clorazepate","2353","ndf-rt"
"Clotrimazole","2623","ndf-rt"
"Cloxacillin","2625","ndf-rt"
"Clozapine","2626","ndf-rt"
"Clozapine (Fazaclo)","542974","ndf-rt"
"Coal Tar,Crude","2635","ndf-rt"
"Cocaine","2653","ndf-rt"
"Codeine","2670","ndf-rt"
"Colchicine","2683","ndf-rt"
"Colesevelam","141626","ndf-rt"
"Colestipol","2685","ndf-rt"
"Colistin","2709","ndf-rt"
"Conivaptan","302285","ndf-rt"
"Corticotropin","376","ndf-rt"
"Cortisone","2878","ndf-rt"
"Cosyntropin","2890","ndf-rt"
"Cranberry Extract","125933","ndf-rt"
"Crizotinib","1148495","ndf-rt"
"Cyanocobalamin","11248","ndf-rt"
"Cyclacillin","2968","ndf-rt"
"Cyclobenzaprine","21949","ndf-rt"
"Cyclophosphamide","3002","ndf-rt"
"Cyclosporine","3008","ndf-rt"
"Cyclothiazide","22033","ndf-rt"
"Cyproheptadine","3013","ndf-rt"
"Cytarabine","3041","ndf-rt"
"Cytomegalovirus-Specific Hyperimmune Globulin [Che","22178","ndf-rt"
"Dacarbazine","3098","ndf-rt"
"Daclizumab","190353","ndf-rt"
"Dactinomycin","3100","ndf-rt"
"Dalteparin","67109","ndf-rt"
"Danaparoid","78484","ndf-rt"
"Danazol","3102","ndf-rt"
"Dantrolene","3105","ndf-rt"
"Dapsone","3108","ndf-rt"
"Daptomycin","22299","ndf-rt"
"Darifenacin","136198","ndf-rt"
"Darunavir","460132","ndf-rt"
"Dasatinib","475342","ndf-rt"
"Daunorubicin","3109","ndf-rt"
"Decitabine","15657","ndf-rt"
"Deferasirox","614373","ndf-rt"
"Deferiprone","11645","ndf-rt"
"Degarelix","475230","ndf-rt"
"Delavirdine","83816","ndf-rt"
"Demeclocycline","3154","ndf-rt"
"Desflurane","27340","ndf-rt"
"Desipramine","3247","ndf-rt"
"Desonide","3254","ndf-rt"
"Desoxycorticosterone","3256","ndf-rt"
"Desvenlafaxine","734064","ndf-rt"
"Dexamethasone","3264","ndf-rt"
"Dexfenfluramine","3268","ndf-rt"
"Dexlansoprazole","816346","ndf-rt"
"Dexmethylphenidate","352372","ndf-rt"
"Dexrazoxane","42736","ndf-rt"
"Dextran 1","214485","ndf-rt"
"Dextran 70","3274","ndf-rt"
"Dextran 75","3275","ndf-rt"
"Dextroamphetamine","3288","ndf-rt"
"Dextromethorphan","3289","ndf-rt"
"Dezocine","22713","ndf-rt"
"Diatrizoate","3319","ndf-rt"
"Diazepam","3322","ndf-rt"
"Dichlorphenamide","3353","ndf-rt"
"Diclofenac","3355","ndf-rt"
"Dicloxacillin","3356","ndf-rt"
"Dicumarol","1598","ndf-rt"
"Dicyclomine","3361","ndf-rt"
"Didanosine","3364","ndf-rt"
"Dienestrol","3368","ndf-rt"
"Diet Aid","216598","ndf-rt"
"Diethylpropion","3389","ndf-rt"
"Diethylstilbestrol","3390","ndf-rt"
"Diflunisal","3393","ndf-rt"
"Digitalis","91235","ndf-rt"
"Digitoxin","3403","ndf-rt"
"Digoxin","3407","ndf-rt"
"Digoxin Antibodies Fab Fragments [Chemical/Ingredi","203223","ndf-rt"
"Dihydrocodeine","23088","ndf-rt"
"Dihydroergotamine","3418","ndf-rt"
"Dihydroergotoxine","3419","ndf-rt"
"Dihydroxyaluminum Sodium Carbonate [Chemical/Ingre","23163","ndf-rt"
"Diltiazem","3443","ndf-rt"
"Dimercaprol","3445","ndf-rt"
"Dimethyl Sulfoxide","3455","ndf-rt"
"Diphenhydramine","3498","ndf-rt"
"Diphtheria Toxoid","798304","ndf-rt"
"Dipivefrin","23410","ndf-rt"
"Dipyridamole","3521","ndf-rt"
"Dirithromycin","23437","ndf-rt"
"Disopyramide","3541","ndf-rt"
"Disulfiram","3554","ndf-rt"
"Dobutamine","3616","ndf-rt"
"Docetaxel","72962","ndf-rt"
"Docusate","82003","ndf-rt"
"Dofetilide","49247","ndf-rt"
"Dolasetron","68091","ndf-rt"
"Domperidone","3626","ndf-rt"
"Donepezil","135447","ndf-rt"
"Dong Quai","328141","ndf-rt"
"Dopamine","3628","ndf-rt"
"Doripenem","119771","ndf-rt"
"Dorzolamide","60207","ndf-rt"
"Doxacurium","23651","ndf-rt"
"Doxazosin","49276","ndf-rt"
"Doxepin","3638","ndf-rt"
"Doxorubicin","3639","ndf-rt"
"Doxycycline","3640","ndf-rt"
"Dronedarone","233698","ndf-rt"
"Droperidol","3648","ndf-rt"
"Duloxetine","72625","ndf-rt"
"Dyphylline","3714","ndf-rt"
"Echothiophate Iodide","3740","ndf-rt"
"Econazole Nitrate","142434","ndf-rt"
"Eculizumab","591781","ndf-rt"
"Edrophonium","3752","ndf-rt"
"Efalizumab","356988","ndf-rt"
"Efavirenz","195085","ndf-rt"
"Eletriptan","231049","ndf-rt"
"Eltrombopag","711942","ndf-rt"
"Enalapril","3827","ndf-rt"
"Enalaprilat","3829","ndf-rt"
"Encainide","42368","ndf-rt"
"Enflurane","3920","ndf-rt"
"Enfuvirtide","139896","ndf-rt"
"Enoxacin","3925","ndf-rt"
"Enoxaparin","67108","ndf-rt"
"Entacapone","60307","ndf-rt"
"Ephedrine","3966","ndf-rt"
"Epinephrine","3992","ndf-rt"
"Epinephrine,Racemic","66887","ndf-rt"
"Epinephryl Borate","24255","ndf-rt"
"Epirubicin","3995","ndf-rt"
"Eplerenone","298869","ndf-rt"
"Epoprostenol","8814","ndf-rt"
"Eprosartan","83515","ndf-rt"
"Eptifibatide","75635","ndf-rt"
"Ergoloid Mesylates","4024","ndf-rt"
"Ergonovine","4021","ndf-rt"
"Ergotamine","4025","ndf-rt"
"Eribulin","1045453","ndf-rt"
"Erlotinib","337525","ndf-rt"
"Ertapenem","325642","ndf-rt"
"Erythrityl Tetranitrate","4040","ndf-rt"
"Erythromycin","4053","ndf-rt"
"Escitalopram","321988","ndf-rt"
"Esmolol","49737","ndf-rt"
"Esomeprazole","283742","ndf-rt"
"Estazolam","4077","ndf-rt"
"Estradiol 17-Beta","4083","ndf-rt"
"Estramustine","4089","ndf-rt"
"Estrogens","4100","ndf-rt"
"Estrone","4103","ndf-rt"
"Estropipate","33747","ndf-rt"
"Eszopiclone","461016","ndf-rt"
"Etanercept","214555","ndf-rt"
"Ethacrynic Acid","4109","ndf-rt"
"Ethambutol","4110","ndf-rt"
"Ethchlorvynol","4118","ndf-rt"
"Ethinamate","24474","ndf-rt"
"Ethinyl Estradiol","4124","ndf-rt"
"Ethopropazine","4134","ndf-rt"
"Ethotoin","4136","ndf-rt"
"Ethylestrenol","4162","ndf-rt"
"Etodolac","24605","ndf-rt"
"Etomidate","4177","ndf-rt"
"Etonogestrel","14584","ndf-rt"
"Etoposide","4179","ndf-rt"
"Etravirine","475969","ndf-rt"
"Everolimus","141704","ndf-rt"
"Exemestane","258494","ndf-rt"
"Exenatide","60548","ndf-rt"
"Ezetimibe","341248","ndf-rt"
"Ezogabine","1112990","ndf-rt"
"Factor Ix Complex,Human","221099","ndf-rt"
"Famciclovir","68099","ndf-rt"
"Famotidine","4278","ndf-rt"
"Febuxostat","73689","ndf-rt"
"Felbamate","24812","ndf-rt"
"Felodipine","4316","ndf-rt"
"Fenfluramine","4328","ndf-rt"
"Fenofibrate","8703","ndf-rt"
"Fenofibric Acid","24852","ndf-rt"
"Fenoldopam","24853","ndf-rt"
"Fenoprofen","4331","ndf-rt"
"Fentanyl","4337","ndf-rt"
"Fenugreek","282436","ndf-rt"
"Ferric Na Gluconate Complex","261435","ndf-rt"
"Ferric Sulfate","24913","ndf-rt"
"Ferumoxides","72901","ndf-rt"
"Fesoterodine","797195","ndf-rt"
"Fiber","70727","ndf-rt"
"Filgrastim","68442","ndf-rt"
"Fingolimod","1012892","ndf-rt"
"Flavoxate","4440","ndf-rt"
"Flecainide","4441","ndf-rt"
"Floxuridine","4488","ndf-rt"
"Fluconazole","4450","ndf-rt"
"Flucytosine","4451","ndf-rt"
"Fludarabine","24698","ndf-rt"
"Fludrocortisone","4452","ndf-rt"
"Flunisolide","25120","ndf-rt"
"Fluocinolone","25126","ndf-rt"
"Fluorouracil","4492","ndf-rt"
"Fluoxetine","4493","ndf-rt"
"Fluoxymesterone","4494","ndf-rt"
"Fluphenazine","4496","ndf-rt"
"Flurazepam","4501","ndf-rt"
