"name","rxcui","source"
"Methyldopa","6876","ndf-rt"
"Methyldopate","6877","ndf-rt"
"Methylene Blue","6878","ndf-rt"
"Methylergometrine","","onc"
"Methylergonovine Maleate","84158","ndf-rt"
"Methylphenidate","6901","ndf-rt"
"Methylprednisolone","6902","ndf-rt"
"Methylsulfonylmethane","23247","ndf-rt"
"Methyltestosterone","6904","ndf-rt"
"Methyprylon","6910","ndf-rt"
"Methysergide","6911","ndf-rt"
"Metipranolol","10824","ndf-rt"
"Metoclopramide","6915","ndf-rt"
"Metocurine Iodide","203206","ndf-rt"
"Metolazone","6916","ndf-rt"
"Metoprolol","6918","ndf-rt"
"Metronidazole","6922","ndf-rt"
"Metyrapone","6923","ndf-rt"
"Mexiletine","6926","ndf-rt"
"Mezlocillin","6927","ndf-rt"
"Mibefradil","83213","ndf-rt"
"Micafungin","325887","ndf-rt"
"Miconazole","6932","ndf-rt"
"Midazolam","6960","ndf-rt"
"Midodrine","6963","ndf-rt"
"Mifepristone","6964","ndf-rt"
"Miglitol","30009","ndf-rt"
"Milnacipran","588250","ndf-rt"
"Minocycline","6980","ndf-rt"
"Mirtazapine","15996","ndf-rt"
"Mitomycin","632","ndf-rt"
"Mitotane","7004","ndf-rt"
"Mitoxantrone","7005","ndf-rt"
"Mivacurium Chloride","52796","ndf-rt"
"Modafinil","30125","ndf-rt"
"Moexipril","30131","ndf-rt"
"Molindone","7019","ndf-rt"
"Mometasone","108118","ndf-rt"
"Monobenzone","17145","ndf-rt"
"Moricizine","40169","ndf-rt"
"Morphine","7052","ndf-rt"
"Moxifloxacin","139462","ndf-rt"
"Mycophenolate","265323","ndf-rt"
"Mycophenolate Mofetil","68149","ndf-rt"
"Mycophenolic Acid","7145","ndf-rt"
"Nabumetone","31448","ndf-rt"
"Nadolol","7226","ndf-rt"
"Nafcillin","7233","ndf-rt"
"Nalbuphine","7238","ndf-rt"
"Nalidixic Acid","7240","ndf-rt"
"Naloxone","7242","ndf-rt"
"Naltrexone","7243","ndf-rt"
"Nandrolone","7244","ndf-rt"
"Naphazoline","7247","ndf-rt"
"Naproxen","7258","ndf-rt"
"Naratriptan","141366","ndf-rt"
"Natalizumab","354770","ndf-rt"
"Nateglinide","274332","ndf-rt"
"Nebivolol","31555","ndf-rt"
"Nefazodone","31565","ndf-rt"
"Nelarabine","274771","ndf-rt"
"Nelfinavir","134527","ndf-rt"
"Neomycin","7299","ndf-rt"
"Neostigmine","7315","ndf-rt"
"Netilmicin","7337","ndf-rt"
"Nevirapine","53654","ndf-rt"
"Nicardipine","7396","ndf-rt"
"Nicotinic Acid","7393","ndf-rt"
"Nicotinyl Alcohol Tartrate","235354","ndf-rt"
"Nifedipine","7417","ndf-rt"
"Nilotinib","662281","ndf-rt"
"Nilutamide","31805","ndf-rt"
"Nimodipine","7426","ndf-rt"
"Nisoldipine","7435","ndf-rt"
"Nitisinone","61805","ndf-rt"
"Nitroglycerin","4917","ndf-rt"
"Nizatidine","42319","ndf-rt"
"Norepinephrine","7512","ndf-rt"
"Norethindrone","7514","ndf-rt"
"Norfloxacin","7517","ndf-rt"
"Norgestrel","7518","ndf-rt"
"Nortriptyline","7531","ndf-rt"
"Octreotide","7617","ndf-rt"
"Ofatumumab","712566","ndf-rt"
"Ofloxacin","7623","ndf-rt"
"Olanzapine","61381","ndf-rt"
"Olsalazine","32385","ndf-rt"
"Omeprazole","7646","ndf-rt"
"Onabotulinumtoxina","860189","ndf-rt"
"Ondansetron","26225","ndf-rt"
"Opium","7676","ndf-rt"
"Orabase","32485","ndf-rt"
"Orlistat","37925","ndf-rt"
"Orphenadrine Citrate","7716","ndf-rt"
"Orphenadrine Hydrochloride","202723","ndf-rt"
"Osteo Bi-Flex","1310635","ndf-rt"
"Oxacillin","7773","ndf-rt"
"Oxaliplatin","32592","ndf-rt"
"Oxandrolone","7779","ndf-rt"
"Oxaprozin","32613","ndf-rt"
"Oxazepam","7781","ndf-rt"
"Oxcarbazepine","32624","ndf-rt"
"Oxtriphylline","20976","ndf-rt"
"Oxybutynin Chloride","54251","ndf-rt"
"Oxycodone","7804","ndf-rt"
"Oxymetazoline","7812","ndf-rt"
"Oxymetholone","7813","ndf-rt"
"Oxymorphone","7814","ndf-rt"
"Oxyphenbutazone","7816","ndf-rt"
"Oxyphencyclimine","32698","ndf-rt"
"Oxyphenonium","7818","ndf-rt"
"Oxytetracycline","7821","ndf-rt"
"Paclitaxel","56946","ndf-rt"
"Paliperidone","679314","ndf-rt"
"Palonosetron","70561","ndf-rt"
"Pamidronate","11473","ndf-rt"
"Pancreatin","7880","ndf-rt"
"Pancuronium Bromide","7884","ndf-rt"
"Panitumumab","263034","ndf-rt"
"Pantoprazole","40790","ndf-rt"
"Para-Aminobenzoic Acid","74","ndf-rt"
"Parachlorometoxylenol","20877","ndf-rt"
"Paraffin,Liquid","6972","ndf-rt"
"Paraldehyde","7909","ndf-rt"
"Paramethasone","7910","ndf-rt"
"Pargyline","7930","ndf-rt"
"Paromomycin","7934","ndf-rt"
"Paroxetine","32937","ndf-rt"
"Pazopanib","714438","ndf-rt"
"Pegademase Bovine","59768","ndf-rt"
"Pegaspargase","34132","ndf-rt"
"Peginesatide","1248798","ndf-rt"
"Pemetrexed","68446","ndf-rt"
"Penbutolol","7973","ndf-rt"
"Penicillamine","7975","ndf-rt"
"Penicillin","70618","ndf-rt"
"Pentaerythritol Tetranitrate","7992","ndf-rt"
"Pentamidine","","onc"
"Pentamidine Isethionate","7995","ndf-rt"
"Pentazocine","8001","ndf-rt"
"Pentobarbital","8004","ndf-rt"
"Pentosan Polysulfate Sodium","134413","ndf-rt"
"Pentostatin","8011","ndf-rt"
"Pentoxifylline","8013","ndf-rt"
"Pergolide Mesylate","8048","ndf-rt"
"Perindopril","54552","ndf-rt"
"Perphenazine","8076","ndf-rt"
"Pertuzumab","1298944","ndf-rt"
"Pethidine","","onc"
"Petrolatum","8091","ndf-rt"
"Phendimetrazine","33272","ndf-rt"
"Phenelzine","","onc"
"Phenelzine Sulfate","8124","ndf-rt"
"Phenmetrazine","8133","ndf-rt"
"Phenobarbital","8134","ndf-rt"
"Phenol","33290","ndf-rt"
"Phenoxybenzamine","8149","ndf-rt"
"Phenprocoumon","8150","ndf-rt"
"Phentermine","8152","ndf-rt"
"Phentolamine","8153","ndf-rt"
"Phenylalanine","8156","ndf-rt"
"Phenylbutazone","8160","ndf-rt"
"Phenylbutyrate Sodium","214837","ndf-rt"
"Phenylephrine","8163","ndf-rt"
"Phenylpropanolamine","8175","ndf-rt"
"Phenytoin","8183","ndf-rt"
"Physostigmine","8299","ndf-rt"
"Phytonadione","8308","ndf-rt"
"Pimozide","8331","ndf-rt"
"Pindolol","8332","ndf-rt"
"Pioglitazone","33738","ndf-rt"
"Pipecuronium Bromide","66983","ndf-rt"
"Piperacetazine","8338","ndf-rt"
"Piperacillin","8339","ndf-rt"
"Pirbuterol","33767","ndf-rt"
"Piroxicam","8356","ndf-rt"
"Pitavastatin","861634","ndf-rt"
"Plicamycin","6995","ndf-rt"
"Podofilox","8463","ndf-rt"
"Polycarbophil Calcium","20063","ndf-rt"
"Polymyxin B","8536","ndf-rt"
"Polythiazide","8565","ndf-rt"
"Porfimer Sodium","333848","ndf-rt"
"Posaconazole","282446","ndf-rt"
"Potassium","8588","ndf-rt"
"Potassium Acetate","54987","ndf-rt"
"Potassium Bicarbonate","34296","ndf-rt"
"Potassium Chloride","8591","ndf-rt"
"Potassium Citrate","54993","ndf-rt"
"Potassium Gluconate","89903","ndf-rt"
"Potassium Iodide","8597","ndf-rt"
"Potassium Perchlorate","34318","ndf-rt"
"Potassium Phosphate","34322","ndf-rt"
"Potassium,Chelated","259277","ndf-rt"
"Povidone-Iodine","8611","ndf-rt"
"Pralatrexate","662019","ndf-rt"
"Pramipexole","746741","ndf-rt"
"Pramlintide","139953","ndf-rt"
"Prasugrel","613391","ndf-rt"
"Pravastatin","42463","ndf-rt"
"Prazepam","8627","ndf-rt"
"Praziquantel","8628","ndf-rt"
"Prazosin","8629","ndf-rt"
"Prednicarbate","34369","ndf-rt"
"Prednisolone","8638","ndf-rt"
"Prednisone","8640","ndf-rt"
"Pregabalin","187832","ndf-rt"
"Primaquine","8687","ndf-rt"
"Primidone","8691","ndf-rt"
"Probenecid","8698","ndf-rt"
"Probucol","8699","ndf-rt"
"Procainamide","8700","ndf-rt"
"Procaine","8701","ndf-rt"
"Procarbazine","8702","ndf-rt"
"Prochlorperazine","8704","ndf-rt"
"Procyclidine","8718","ndf-rt"
"Progesterone","8727","ndf-rt"
"Promazine","8742","ndf-rt"
"Promethazine","8745","ndf-rt"
"Propafenone","8754","ndf-rt"
"Propantheline","8761","ndf-rt"
"Propiomazine","8770","ndf-rt"
"Propofol","8782","ndf-rt"
"Propoxyphene","8785","ndf-rt"
"Propranolol","8787","ndf-rt"
"Propyliodone","8793","ndf-rt"
"Propylthiouracil","8794","ndf-rt"
"Protriptyline","8886","ndf-rt"
"Pseudoephedrine","8896","ndf-rt"
"Psyllium","8928","ndf-rt"
"P-V Tussin","219013","ndf-rt"
"Pyridostigmine","9000","ndf-rt"
"Pyrimethamine","9010","ndf-rt"
"Quazepam","35185","ndf-rt"
"Quercetin","9060","ndf-rt"
"Quetiapine","51272","ndf-rt"
"Quinapril","35208","ndf-rt"
"Quinestrol","9066","ndf-rt"
"Quinethazone","59743","ndf-rt"
"Quinidine","9068","ndf-rt"
"Quinine","9071","ndf-rt"
"Rabeprazole","114979","ndf-rt"
"Rabies Immune Globulin,Human","89886","ndf-rt"
"Raloxifene","72143","ndf-rt"
"Raltegravir","719872","ndf-rt"
"Ramelteon","596205","ndf-rt"
"Ramipril","35296","ndf-rt"
"Ranitidine","9143","ndf-rt"
"Ranitidine Bismuth Citrate","55471","ndf-rt"
"Ranolazine","35829","ndf-rt"
"Rapacuronium Bromide","228530","ndf-rt"
"Rasagiline","134748","ndf-rt"
"Red Yeast Rice","232540","ndf-rt"
"Regadenoson","640062","ndf-rt"
"Remifentanil","73032","ndf-rt"
"Repaglinide","73044","ndf-rt"
"Reserpine","9260","ndf-rt"
"Reteplase,Recombinant","76895","ndf-rt"
"Ribavirin","9344","ndf-rt"
"Rifabutin","55672","ndf-rt"
"Rifampicin","","onc"
"Rifampin","9384","ndf-rt"
"Rifapentine","35617","ndf-rt"
"Rilonacept","763450","ndf-rt"
"Rilpivirine","1102270","ndf-rt"
"Rimabotulinumtoxinb","860178","ndf-rt"
"Risperidone","35636","ndf-rt"
"Ritonavir","85762","ndf-rt"
"Rituximab","121191","ndf-rt"
"Rivaroxaban","1114195","ndf-rt"
"Rivastigmine","183379","ndf-rt"
"Rizatriptan","88014","ndf-rt"
"Rocuronium Bromide","32521","ndf-rt"
"Rofecoxib","232158","ndf-rt"
"Roflumilast","1091836","ndf-rt"
"Romidepsin","877510","ndf-rt"
"Ropinirole","72302","ndf-rt"
"Rosiglitazone","84108","ndf-rt"
"Rosuvastatin","301542","ndf-rt"
"Rotigotine","616739","ndf-rt"
"Rufinamide","69036","ndf-rt"
"Ruxolitinib","1193326","ndf-rt"
"Salicylamide","9518","ndf-rt"
"Salicylic Acid","9525","ndf-rt"
"Salmeterol","36117","ndf-rt"
"Salsalate","36108","ndf-rt"
"Samarium Sm153","196342","ndf-rt"
"Saquinavir","83395","ndf-rt"
"Sargramostim","69634","ndf-rt"
"Saxagliptin","857974","ndf-rt"
"Scopolamine","9601","ndf-rt"
"Secobarbital","9624","ndf-rt"
"Selegiline","9639","ndf-rt"
"Sennosides","36387","ndf-rt"
"Sermorelin Acetate","58932","ndf-rt"
"Sertraline","36437","ndf-rt"
"Sevelamer","214824","ndf-rt"
"Sevelamer Carbonate","660890","ndf-rt"
"Sevelamer Hydrochloride","237125","ndf-rt"
"Sevoflurane","36453","ndf-rt"
"Sibutramine","36514","ndf-rt"
"Sildenafil","136411","ndf-rt"
"Silodosin","720825","ndf-rt"
"Silver Nitrate","9789","ndf-rt"
"Silver Sulfadiazine","9793","ndf-rt"
"Simethicone","9796","ndf-rt"
"Simvastatin","36567","ndf-rt"
"Sirolimus","35302","ndf-rt"
"Sitagliptin","593411","ndf-rt"
"Sodium Acetate","56443","ndf-rt"
"Sodium Alginate","56446","ndf-rt"
"Sodium Bicarbonate","36676","ndf-rt"
"Sodium Citrate","56466","ndf-rt"
"Sodium Lactate","56489","ndf-rt"
"Sodium Nitrite","9894","ndf-rt"
"Sodium Nitroprusside","9895","ndf-rt"
"Sodium Oxybate","9899","ndf-rt"
"Sodium Phosphate","36709","ndf-rt"
"Sodium Polystyrene Sulfonate","56512","ndf-rt"
"Sodium Salicylate","9907","ndf-rt"
"Sodium Tetradecyl Sulfate","9913","ndf-rt"
"Sodium Thiosalicylate","91100","ndf-rt"
"Sodium Thiosulfate","36726","ndf-rt"
"Solifenacin","322167","ndf-rt"
"Somatropin","61148","ndf-rt"
"Sorafenib","495881","ndf-rt"
"Sorbitol","9945","ndf-rt"
"Sotalol","9947","ndf-rt"
"Soybean Oil","9949","ndf-rt"
"Sparfloxacin","18469","ndf-rt"
"Spironolactone","9997","ndf-rt"
"St. John's Wort","258326","ndf-rt"
"Stanozolol","10032","ndf-rt"
"Stavudine (D4t)","59763","ndf-rt"
"Streptokinase","10106","ndf-rt"
"Streptomycin","10109","ndf-rt"
"Streptozocin","10114","ndf-rt"
"Strontium-89 Chloride","281890","ndf-rt"
"Succimer","3446","ndf-rt"
"Succinylcholine","10154","ndf-rt"
"Sucralfate","10156","ndf-rt"
"Sufentanil","56795","ndf-rt"
"Sulfacetamide","10169","ndf-rt"
"Sulfacytine","78902","ndf-rt"
"Sulfadiazine","10171","ndf-rt"
"Sulfamethizole","10179","ndf-rt"
"Sulfamethoxazole","10180","ndf-rt"
"Sulfapyridine","10188","ndf-rt"
"Sulfasalazine","9524","ndf-rt"
"Sulfinpyrazone","10205","ndf-rt"
"Sulfisoxazole","10207","ndf-rt"
"Sulfur","10223","ndf-rt"
"Sulindac","10237","ndf-rt"
"Sulpiride","","onc"
"Sumatriptan","37418","ndf-rt"
"Sunitinib","357977","ndf-rt"
"Suprofen","10255","ndf-rt"
"Tacrine","10318","ndf-rt"
"Tacrolimus","42316","ndf-rt"
"Tadalafil","358263","ndf-rt"
"Talbutal","89810","ndf-rt"
"Tamoxifen","10324","ndf-rt"
"Tamsulosin","77492","ndf-rt"
"Tapentadol","787390","ndf-rt"
"Tegaserod","139778","ndf-rt"
"Telaprevir","1102261","ndf-rt"
"Telavancin","473837","ndf-rt"
"Telbivudine","474128","ndf-rt"
"Telithromycin","274786","ndf-rt"
"Telmisartan","73494","ndf-rt"
"Temazepam","10355","ndf-rt"
"Temozolomide","37776","ndf-rt"
"Temsirolimus","657797","ndf-rt"
"Tenecteplase","259280","ndf-rt"
"Teniposide","10362","ndf-rt"
"Tenofovir","117466","ndf-rt"
"Terazosin","37798","ndf-rt"
"Terbinafine","37801","ndf-rt"
"Terbutaline","10368","ndf-rt"
"Terfenadine","42330","ndf-rt"
"Terpin Hydrate","89916","ndf-rt"
"Testolactone","10378","ndf-rt"
"Testosterone","10379","ndf-rt"
"Tetanus Immune Globulin,Human","91603","ndf-rt"
"Tetanus Toxoid Adsorbed","798306","ndf-rt"
"Tetrabenazine","10390","ndf-rt"
"Tetracaine","10391","ndf-rt"
"Tetracycline","10395","ndf-rt"
"Tetrahydrozoline","37935","ndf-rt"
"Thalidomide","10432","ndf-rt"
"Theophylline","10438","ndf-rt"
"Thiamylal","10464","ndf-rt"
"Thiethylperazine","10471","ndf-rt"
"Thimerosal","10472","ndf-rt"
"Thioguanine","10485","ndf-rt"
"Thiopental","10493","ndf-rt"
"Thioridazine","10502","ndf-rt"
"Thiotepa","10473","ndf-rt"
"Thiothixene","10510","ndf-rt"
"Thrombin","10528","ndf-rt"
"Thyroglobulin","10565","ndf-rt"
"Thyroid (Usp)","10572","ndf-rt"
"Ticagrelor","1116632","ndf-rt"
"Ticarcillin","10591","ndf-rt"
"Ticlopidine","10594","ndf-rt"
"Tigecycline","384455","ndf-rt"
"Timolol","10600","ndf-rt"
"Tinidazole","10612","ndf-rt"
"Tinzaparin","69646","ndf-rt"
"Tioconazole","38298","ndf-rt"
"Tiopronin","6765","ndf-rt"
"Tipranavir","190548","ndf-rt"
"Tirofiban","73137","ndf-rt"
"Tisseel","287575","ndf-rt"
"Tizanidine","57258","ndf-rt"
"Tobramycin","10627","ndf-rt"
"Tocainide","42359","ndf-rt"
"Tocilizumab","612865","ndf-rt"
"Tolazamide","10633","ndf-rt"
"Tolbutamide","10635","ndf-rt"
"Tolcapone","72937","ndf-rt"
"Tolmetin","10636","ndf-rt"
"Tolnaftate","10637","ndf-rt"
"Tolterodine","119565","ndf-rt"
"Tolvaptan","358257","ndf-rt"
"Topiramate","38404","ndf-rt"
"Topotecan","57308","ndf-rt"
"Toremifene","38409","ndf-rt"
"Torsemide","38413","ndf-rt"
"Tositumomab","263010","ndf-rt"
"Tositumomab Iodine-131","234449","ndf-rt"
"Tramadol","10689","ndf-rt"
"Trandolapril","38454","ndf-rt"
"Tranexamic Acid","10691","ndf-rt"
"Tranylcypromine","10734","ndf-rt"
"Trastuzumab","224905","ndf-rt"
"Trazodone","10737","ndf-rt"
"Tretinoin","10753","ndf-rt"
"Triamcinolone","10759","ndf-rt"
"Triamterene","10763","ndf-rt"
"Triazolam","10767","ndf-rt"
"Trichlormethiazide","10772","ndf-rt"
"Tridihexethyl","38617","ndf-rt"
"Trifluoperazine","10800","ndf-rt"
"Triflupromazine","10805","ndf-rt"
"Trifluridine","10803","ndf-rt"
"Trihexyphenidyl","10811","ndf-rt"
"Trimeprazine","10825","ndf-rt"
"Trimethadione","10827","ndf-rt"
"Trimethaphan Camsylate","38680","ndf-rt"
"Trimethoprim","10829","ndf-rt"
"Trimetrexate Glucuronate","38725","ndf-rt"
"Trimipramine","10834","ndf-rt"
"Troglitazone","72610","ndf-rt"
"Trolamine Salicylate","38866","ndf-rt"
"Troleandomycin","10864","ndf-rt"
"Tromethamine","10865","ndf-rt"
"Tropicamide","10869","ndf-rt"
"Trospium","236778","ndf-rt"
"Tryptophan","10898","ndf-rt"
"Tuberculin,Purified Protein Derivative","8948","ndf-rt"
"Tubocurarine","10917","ndf-rt"
"Tyrosine","10962","ndf-rt"
"Ulipristal","1005921","ndf-rt"
"Uracil Mustard","10996","ndf-rt"
"Urea","11002","ndf-rt"
"Urokinase-Type Plasminogen Activator [Chemical/Ing","11055","ndf-rt"
"Ustekinumab","847083","ndf-rt"
"Valacyclovir","73645","ndf-rt"
"Valdecoxib","278567","ndf-rt"
"Valganciclovir","275891","ndf-rt"
"Valproate Sodium","9919","ndf-rt"
"Valproic Acid","11118","ndf-rt"
"Valrubicin","31435","ndf-rt"
"Valsartan","69749","ndf-rt"
"Vancomycin","11124","ndf-rt"
"Vandetanib","1098413","ndf-rt"
"Vardenafil","306674","ndf-rt"
"Varicella","11131","ndf-rt"
"Varicella-Zoster Immune Globulin [Chemical/Ingredi","39385","ndf-rt"
"Vasopressin","11149","ndf-rt"
"Vecuronium","71535","ndf-rt"
"Vemurafenib","1147220","ndf-rt"
"Venlafaxine","39786","ndf-rt"
"Verapamil","11170","ndf-rt"
"Vilazodone","1086769","ndf-rt"
"Vinblastine","11198","ndf-rt"
"Vincristine","11202","ndf-rt"
"Vinorelbine","39541","ndf-rt"
"Vitamin A","11246","ndf-rt"
"Vitamin B3","7405","ndf-rt"
"Vitamin C","1151","ndf-rt"
"Vitamin E","11256","ndf-rt"
"Vitamin K","11258","ndf-rt"
"Voriconazole","121243","ndf-rt"
"Vorinostat","194337","ndf-rt"
"Warfarin","11289","ndf-rt"
"Witch Hazel","89821","ndf-rt"
"Xylometazoline","39841","ndf-rt"
"Yellow Fever Vaccine","89890","ndf-rt"
"Yohimbine","220982","ndf-rt"
"Zafirlukast","114970","ndf-rt"
"Zalcitabine (Dideoxycytidine,Ddc)","3363","ndf-rt"
"Zaleplon","74667","ndf-rt"
"Zidovudine","11413","ndf-rt"
"Zileuton","40575","ndf-rt"
"Zinc Oxide","11423","ndf-rt"
"Ziprasidone","115698","ndf-rt"
"Zolmitriptan","135775","ndf-rt"
"Zolpidem","39993","ndf-rt"
