"name_a","name_b","severity","rxcui_a","rxcui_b","sources"
"Thyroid (Usp)","Calcium Phosphate","reported","10572","1919","ndf-rt"
"Thyroid (Usp)","Calcium Glubionate","reported","10572","25806","ndf-rt"
"Thyroid (Usp)","Dihydroxyaluminum Sodium Carbonate [Chemical/Ingre","reported","10572","23163","ndf-rt"
"Thyroid (Usp)","Lactase","reported","10572","41397","ndf-rt"
"Thyroid (Usp)","Sevelamer Hydrochloride","reported","10572","237125","ndf-rt"
"Thyroid (Usp)","Iron Sucrose","reported","10572","24909","ndf-rt"
"Thyroid (Usp)","Iron Dextran Complex","reported","10572","5992","ndf-rt"
"Thyroid (Usp)","Estrone","reported","10572","4103","ndf-rt"
"Thyroid (Usp)","Anusol","reported","10572","128774","ndf-rt"
"Thyroid (Usp)","Sevelamer","reported","10572","214824","ndf-rt"
"Thyroid (Usp)","Diet Aid","reported","10572","216598","ndf-rt"
"Thyroid (Usp)","Lanthanum","reported","10572","1311070","ndf-rt"
"Thyroid (Usp)","Tisseel","reported","10572","287575","ndf-rt"
"Thyroid (Usp)","Sevelamer Carbonate","reported","10572","660890","ndf-rt"
"Thyroid (Usp)","Calcium Pangamate","reported","10572","1917","ndf-rt"
"Thyroid (Usp)","Calcium Folinate","reported","10572","225852","ndf-rt"
"Phenobarbital","Diethylstilbestrol","reported","8134","3390","ndf-rt"
"Phenobarbital","Estradiol 17-Beta","reported","8134","4083","ndf-rt"
"Phenobarbital","Metronidazole","reported","8134","6922","ndf-rt"
"Phenobarbital","Ethinyl Estradiol","reported","8134","4124","ndf-rt"
"Phenobarbital","Norgestrel","reported","8134","7518","ndf-rt"
"Phenobarbital","Levonorgestrel","moderate","8134","6373","ndf-rt+openfda"
"Phenobarbital","Aminophylline","reported","8134","689","ndf-rt"
"Phenobarbital","Haloperidol","reported","8134","5093","ndf-rt"
"Phenobarbital","Theophylline","reported","8134","10438","ndf-rt"
"Phenobarbital","Praziquantel","reported","8134","8628","ndf-rt"
"Phenobarbital","Nifedipine","severe","8134","7417","ndf-rt+openfda"
"Phenobarbital","Estrogens","moderate","8134","4100","ndf-rt+openfda"
"Phenobarbital","Estrone","moderate","8134","4103","ndf-rt+openfda"
"Phenobarbital","Disulfiram","reported","8134","3554","ndf-rt"
"Phenobarbital","Norethindrone","moderate","8134","7514","ndf-rt+openfda"
"Phenobarbital","Phenprocoumon","moderate","8134","8150","ndf-rt+openfda"
"Phenobarbital","Chlorotrianisene","reported","8134","2397","ndf-rt"
"Phenobarbital","Estropipate","reported","8134","33747","ndf-rt"
"Phenobarbital","Dicumarol","reported","8134","1598","ndf-rt"
"Phenobarbital","Cyclosporine","reported","8134","3008","ndf-rt"
"Phenobarbital","Anisindione","reported","8134","17941","ndf-rt"
"Phenobarbital","Quinestrol","reported","8134","9066","ndf-rt"
"Phenobarbital","Nimodipine","moderate","8134","7426","ndf-rt+openfda"
"Phenobarbital","Clozapine","reported","8134","2626","ndf-rt"
"Phenobarbital","Levamisole","reported","8134","6371","ndf-rt"
"Phenobarbital","Cefotetan","reported","8134","2187","ndf-rt"
"Phenobarbital","Doxorubicin","moderate","8134","3639","ndf-rt+openfda"
"Phenobarbital","Guanfacine","moderate","8134","40114","ndf-rt+openfda"
"Phenobarbital","Methotrexate","reported","8134","6851","ndf-rt"
"Phenobarbital","Tamoxifen","reported","8134","10324","ndf-rt"
"Phenobarbital","Vincristine","reported","8134","11202","ndf-rt"
"Phenobarbital","Warfarin","reported","8134","11289","ndf-rt"
"Phenobarbital","Felodipine","moderate","8134","4316","ndf-rt+openfda"
"Phenobarbital","Teniposide","reported","8134","10362","ndf-rt"
"Phenobarbital","Paclitaxel","reported","8134","56946","ndf-rt"
"Phenobarbital","Risperidone","reported","8134","35636","ndf-rt"
"Phenobarbital","Levomethadyl","reported","8134","237005","ndf-rt"
"Phenobarbital","Tacrolimus","moderate","8134","42316","ndf-rt+openfda"
"Phenobarbital","Nisoldipine","reported","8134","7435","ndf-rt"
"Phenobarbital","Ritonavir","moderate","8134","85762","ndf-rt+openfda"
"Phenobarbital","Docetaxel","reported","8134","72962","ndf-rt"
