name_a,name_b,severity,sources
Vancomycin,Bacitracin,moderate,openfda(new)
Benazepril,Valsartan,moderate,openfda(new)
Dapsone,Benzocaine,moderate,openfda(new)
Darunavir,Bepridil,moderate,openfda(new)
Bisoprolol,Reserpine,moderate,openfda(new)
Phenytoin,Bleomycin,moderate,openfda(new)
Eltrombopag,Boceprevir,moderate,openfda(new)
Itraconazole,Bortezomib,severe,openfda(new)
Ketoconazole,Bortezomib,severe,openfda(new)
Bortezomib,Mannitol,severe,openfda(new)
Lidocaine,Bretylium,moderate,openfda(new)
Octreotide,Bromocriptine,moderate,openfda(new)
Itraconazole,Budesonide,moderate,openfda(new)
Budesonide,Ketoconazole,severe,openfda(new)
Bupivacaine,Epinephrine,severe,openfda(new)
Darunavir,Buprenorphine,moderate,openfda(new)
Etravirine,Buprenorphine,moderate,openfda(new)
Buprenorphine,Indinavir,moderate,openfda(new)
Itraconazole,Buprenorphine,moderate,openfda(new)
Ketoconazole,Buprenorphine,severe,openfda(new)
Buprenorphine,Lopinavir,moderate,openfda(new)
Buprenorphine,Nelfinavir,moderate,openfda(new)
Buprenorphine,Pentazocine,moderate,openfda(new)
Buprenorphine,Phenelzine,moderate,openfda(new)
Buprenorphine,Saquinavir,moderate,openfda(new)
Buprenorphine,Tranylcypromine,moderate,openfda(new)
Bupropion,Clopidogrel,moderate,openfda(new)
Cyclobenzaprine,Bupropion,moderate,openfda(new)
Bupropion,Digoxin,moderate,openfda(new)
Mifepristone,Bupropion,moderate,openfda(new)
Bupropion,Phenelzine,severe,openfda(new)
Bupropion,Phenobarbital,moderate,openfda(new)
Bupropion,Phenytoin,moderate,openfda(new)
Bupropion,Theophylline,moderate,openfda(new)
Bupropion,Ticlopidine,moderate,openfda(new)
Buspirone,Carbamazepine,moderate,openfda(new)
Darunavir,Buspirone,moderate,openfda(new)
Buspirone,Dexamethasone,moderate,openfda(new)
Paclitaxel,Buspirone,moderate,openfda(new)
Buspirone,Phenobarbital,moderate,openfda(new)
Buspirone,Phenytoin,moderate,openfda(new)
Buspirone,Ritonavir,moderate,openfda(new)
Hydrocodone,Butorphanol,moderate,openfda(new)
Levorphanol,Butorphanol,moderate,openfda(new)
Meperidine,Butorphanol,moderate,openfda(new)
Remifentanil,Butorphanol,moderate,openfda(new)
Sufentanil,Butorphanol,moderate,openfda(new)
Tapentadol,Butorphanol,moderate,openfda(new)
Tramadol,Butorphanol,severe,openfda(new)
Ciprofloxacin,Caffeine,severe,openfda(new)
Duloxetine,Caffeine,moderate,openfda(new)
Pentoxifylline,Caffeine,severe,openfda(new)
Phenytoin,Calcium Carbonate,moderate,openfda(new)
Calcium Chloride,Digitalis,severe,openfda(new)
Calcium Chloride,Digoxin,severe,openfda(new)
Capecitabine,Vitamin K,moderate,openfda(new)
Captopril,Valsartan,moderate,openfda(new)
Carbamazepine,Clobazam,moderate,openfda(new)
Carbamazepine,Clonazepam,moderate,openfda(new)
Carbamazepine,Dantrolene,moderate,openfda(new)
Fluoxetine,Carbamazepine,moderate,openfda(new)
Carbamazepine,Ibuprofen,moderate,openfda(new)
Levothyroxine,Carbamazepine,moderate,openfda(new)
Lithium,Carbamazepine,moderate,openfda(new)
Carbamazepine,Loxapine,moderate,openfda(new)
Mefloquine,Carbamazepine,moderate,openfda(new)
Mifepristone,Carbamazepine,severe,openfda(new)
Mirtazapine,Carbamazepine,moderate,openfda(new)
Progesterone,Carbamazepine,moderate,openfda(new)
Quinine,Carbamazepine,moderate,openfda(new)
Carbamazepine,Valproic Acid,moderate,openfda(new)
Carboplatin,Cisplatin,severe,openfda(new)
Carboplatin,Mannitol,severe,openfda(new)
Phenytoin,Carboplatin,moderate,openfda(new)
Sorafenib,Carboplatin,severe,openfda(new)
Carisoprodol,Meprobamate,severe,openfda(new)
Pentostatin,Carmustine,severe,openfda(new)
Carmustine,Phenytoin,moderate,openfda(new)
Carvedilol,Fluconazole,moderate,openfda(new)
Carvedilol,Rifampin,moderate,openfda(new)
Carvedilol,Verapamil,moderate,openfda(new)
Ceftriaxone,Lidocaine,severe,openfda(new)
Cefuroxime,Probenecid,severe,openfda(new)
Celecoxib,Cyclosporine,moderate,openfda(new)
Celecoxib,Norepinephrine,moderate,openfda(new)
Cyanocobalamin,Chloramphenicol,moderate,openfda(new)
Glimepiride,Chloramphenicol,moderate,openfda(new)
